;index;letters_per_second;words_per_second
1666165760;0.07642289002736409;0.016666666666666666;0.016666666666666666
1666165820;0.0;0.0;0.0
1666165880;0.0;0.0;0.0
1666165940;0.0;0.0;0.0
1666166000;0.0;0.0;0.0
1666166060;0.0;0.0;0.0
1666166120;0.0;0.0;0.0
1666166180;0.0;0.0;0.0
1666166240;0.0;0.0;0.0
1666166300;0.0;0.0;0.0
1666166360;0.0;0.0;0.0
1666166420;0.0;0.0;0.0
1666166480;0.0;0.0;0.0
1666166540;0.0;0.0;0.0
1666166600;0.0;0.0;0.0
1666166660;0.0;0.0;0.0
1666166720;0.0;0.0;0.0
1666166780;0.0;0.0;0.0
1666166840;7.8686596751213065;0.3624399043260631;0.0762439904326063
1666166900;0.7221048831939697;0.07089342900727029;0.00708934290072703
1666166960;0.0;0.0;0.0
1666167020;0.0;0.0;0.0
1666167080;6.554352259635926;0.14624219436082672;0.016666666666666666
1666167140;34.08709226051966;0.04346556070120099;0.0
1666167200;38.0;0.008570457877894821;0.0
1666167260;10.589163553714751;0.31838845372674407;0.03333333333333333
1666167320;0.0;0.0;0.0
1666167380;0.0;0.0;0.0
1666167440;0.0;0.0;0.0
1666167500;0.0;0.0;0.0
1666167560;0.0;0.0;0.0
1666167620;0.0;0.0;0.0
1666167680;5.66958757241567;0.27673424537838;0.0
1666167740;5.854254555702209;0.43993242128828675;0.0
1666167800;0.0;0.0;0.0
1666167860;0.0;0.0;0.0
1666167920;0.0;0.0;0.0
1666167980;0.0;0.0;0.0
1666168040;0.0;0.0;0.0
1666168100;0.0;0.0;0.0
1666168160;0.0;0.0;0.0
1666168220;0.0;0.0;0.0
1666168280;0.0;0.0;0.0
1666168340;12.866287982463836;0.004590603699901709;0.0
1666168400;61.0;0.021764383486182495;0.0
1666168460;31.344716199239095;0.10697834614724913;0.0
1666168520;0.0;0.0;0.0
1666168580;0.0;0.0;0.0
1666168640;12.494521478811901;0.0109825784779899;0.0
1666168700;28.876083668073015;0.08901742152201009;0.0
1666168760;0.0;0.0;0.0
1666168820;14.974619297186534;0.06666666666666667;0.0
1666168880;0.0;0.0;0.0
1666168940;0.0;0.0;0.0
1666169000;70.3421461780866;0.27587060665409147;0.009626863666037907
1666169060;6.447191814581553;0.14079606001257527;0.007039803000628763
1666169120;43.48097128470738;0.09999999999999999;0.016666666666666666
1666169180;0.0;0.0;0.0
1666169240;0.0;0.0;0.0
1666169300;0.0;0.0;0.0
1666169360;0.0;0.0;0.0
1666169420;0.0;0.0;0.0
1666169480;0.0;0.0;0.0
1666169540;0.0;0.0;0.0
1666169600;0.0;0.0;0.0
1666169660;0.0;0.0;0.0
1666169720;0.0;0.0;0.0
1666169780;0.0;0.0;0.0
1666169840;0.0;0.0;0.0
1666169900;0.0;0.0;0.0
1666169960;0.0;0.0;0.0
1666170020;116.49446868896484;0.010912158073570296;0.0
1666170080;117.47493020296096;0.0249752112217665;0.0
1666170140;118.0;0.04047058390651516;0.0
1666170200;117.52803467909494;0.04030871346481471;0.0
1666170260;0.0;0.0;0.0
1666170320;0.0;0.0;0.0
1666170380;0.0;0.0;0.0
1666170440;0.0;0.0;0.0
1666170500;0.0;0.0;0.0
1666170560;1.1401487032572428;0.016666666666666666;0.016666666666666666
1666170620;0.0;0.0;0.0
1666170680;0.0;0.0;0.0
1666170740;0.0;0.0;0.0
1666170800;0.0;0.0;0.0
1666170860;0.0;0.0;0.0
1666170920;0.0;0.0;0.0
1666170980;0.0;0.0;0.0
1666171040;0.0;0.0;0.0
1666171100;0.0;0.0;0.0
1666171160;0.0;0.0;0.0
1666171220;0.0;0.0;0.0
1666171280;0.0;0.0;0.0
1666171340;0.0;0.0;0.0
1666171400;0.0;0.0;0.0
1666171460;0.0;0.0;0.0
1666171520;0.0;0.0;0.0
1666171580;0.0;0.0;0.0
1666171640;0.0;0.0;0.0
1666171700;0.0;0.0;0.0
1666171760;0.0;0.0;0.0
1666171820;0.0;0.0;0.0
1666171880;0.0;0.0;0.0
1666171940;0.0;0.0;0.0
1666172000;0.0;0.0;0.0
1666172060;0.0;0.0;0.0
1666172120;0.0;0.0;0.0
1666172180;0.0;0.0;0.0
1666172240;0.0;0.0;0.0
1666172300;0.0;0.0;0.0
1666172360;0.0;0.0;0.0
1666172420;0.0;0.0;0.0
1666172480;0.0;0.0;0.0
1666172540;0.0;0.0;0.0
1666172600;0.0;0.0;0.0
1666172660;0.0;0.0;0.0
1666172720;0.0;0.0;0.0
1666172780;0.0;0.0;0.0
1666172840;0.0;0.0;0.0
1666172900;0.0;0.0;0.0
1666172960;0.0;0.0;0.0
1666173020;0.0;0.0;0.0
1666173080;0.0;0.0;0.0
1666173140;0.0;0.0;0.0
1666173200;0.0;0.0;0.0
1666173260;0.0;0.0;0.0
1666173320;0.0;0.0;0.0
1666173380;0.0;0.0;0.0
1666173440;0.0;0.0;0.0
1666173500;0.0;0.0;0.0
1666173560;0.0;0.0;0.0
1666173620;0.0;0.0;0.0
1666173680;0.0;0.0;0.0
1666173740;0.0;0.0;0.0
1666173800;0.0;0.0;0.0
1666173860;0.0;0.0;0.0
1666173920;0.0;0.0;0.0
1666173980;0.0;0.0;0.0
1666174040;0.0;0.0;0.0
1666174100;0.0;0.0;0.0
1666174160;0.0;0.0;0.0
1666174220;0.0;0.0;0.0
1666174280;0.0;0.0;0.0
1666174340;0.0;0.0;0.0
1666174400;0.0;0.0;0.0
1666174460;0.0;0.0;0.0
1666174520;0.0;0.0;0.0
1666174580;0.0;0.0;0.0
1666174640;0.0;0.0;0.0
1666174700;0.0;0.0;0.0
1666174760;0.0;0.0;0.0
1666174820;0.0;0.0;0.0
1666174880;0.0;0.0;0.0
1666174940;0.0;0.0;0.0
1666175000;0.0;0.0;0.0
1666175060;0.0;0.0;0.0
1666175120;0.0;0.0;0.0
1666175180;0.0;0.0;0.0
1666175240;0.0;0.0;0.0
1666175300;0.0;0.0;0.0
1666175360;0.0;0.0;0.0
1666175420;0.0;0.0;0.0
1666175480;0.0;0.0;0.0
1666175540;0.0;0.0;0.0
1666175600;0.0;0.0;0.0
1666175660;0.0;0.0;0.0
1666175720;0.0;0.0;0.0
1666175780;0.0;0.0;0.0
1666175840;0.0;0.0;0.0
1666175900;0.0;0.0;0.0
1666175960;0.0;0.0;0.0
1666176020;0.0;0.0;0.0
1666176080;0.0;0.0;0.0
1666176140;0.0;0.0;0.0
1666176200;0.0;0.0;0.0
1666176260;0.0;0.0;0.0
1666176320;0.0;0.0;0.0
1666176380;0.0;0.0;0.0
1666176440;0.0;0.0;0.0
1666176500;0.0;0.0;0.0
1666176560;0.0;0.0;0.0
1666176620;0.0;0.0;0.0
1666176680;0.0;0.0;0.0
1666176740;0.0;0.0;0.0
1666176800;0.0;0.0;0.0
1666176860;0.0;0.0;0.0
1666176920;0.0;0.0;0.0
1666176980;0.0;0.0;0.0
1666177040;0.0;0.0;0.0
1666177100;0.0;0.0;0.0
1666177160;0.0;0.0;0.0
1666177220;0.0;0.0;0.0
1666177280;0.0;0.0;0.0
1666177340;0.0;0.0;0.0
1666177400;0.0;0.0;0.0
1666177460;0.0;0.0;0.0
